condition_info,time,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_lem1,syntax_penn_lem2,lexical_tok1,lexical_tok2,lexical_lem1,lexical_lem2,cosine_semanticL,partner_direction,utterance_length1,utterance_length2,condition,age [in months]
125.cha.conv.txt-select.txt-rand.txt,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09505842608625703,MOT>CHI,3,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07967980717062728,CHI>MOT,1,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07967980717062728,MOT>CHI,1,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,43,0.0,0.0,0.0,0.0,0.3592106040535498,0.0,0.3592106040535498,0.0,0.7097456969569266,CHI>MOT,1,19,TYP,24
125.cha.conv.txt-select.txt-rand.txt,44,0.5897678246195885,0.3015113445777636,0.4743416490252569,0.2886751345948129,0.10369516947304255,0.0,0.10369516947304255,0.0,0.5251120877670019,MOT>CHI,19,3,TYP,24
125.cha.conv.txt-select.txt-rand.txt,45,0.6761234037828131,0.0,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.3771560470919604,CHI>MOT,3,5,TYP,24
125.cha.conv.txt-select.txt-rand.txt,46,0.0,0.0,0.4472135954999579,0.0,0.4472135954999579,0.0,0.4472135954999579,0.0,0.6672002504786667,MOT>CHI,5,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08473153509704645,CHI>MOT,1,2,TYP,24
125.cha.conv.txt-select.txt-rand.txt,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23461939317888292,MOT>CHI,2,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779267359543348,CHI>MOT,1,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2437968027756341,MOT>CHI,1,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CHI>MOT,1,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MOT>CHI,1,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38078888550960877,CHI>MOT,1,7,TYP,24
125.cha.conv.txt-select.txt-rand.txt,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38078888550960877,MOT>CHI,7,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,55,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45763630056612015,CHI>MOT,1,8,TYP,24
125.cha.conv.txt-select.txt-rand.txt,56,0.35355339059327373,0.0,0.6324555320336759,0.0,0.0,0.0,0.0,0.0,0.1968118373402592,MOT>CHI,8,1,TYP,24
125.cha.conv.txt-select.txt-rand.txt,57,0.3333333333333333,0.0,0.30151134457776363,0.0,0.0,0.0,0.0,0.0,0.10275838726376607,CHI>MOT,1,9,TYP,24
125.cha.conv.txt-select.txt-rand.txt,58,0.3849001794597505,0.0,0.3481553119113957,0.0,0.0,0.0,0.0,0.0,0.21384549486698068,MOT>CHI,9,4,TYP,24
163.cha.conv.txt-select.txt-rand.txt,0,0.30499714066520933,0.0,0.3086066999241838,0.0,0.0,0.0,0.0,0.0,0.33803316352298096,MOT>CHI,21,1,TYP,21
163.cha.conv.txt-select.txt-rand.txt,1,0.2886751345948129,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.3558083345683649,CHI>MOT,1,10,TYP,21
